Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2025-05-04,"Dairy Queen",5.10b,"Scary spinners.  First bolt flexes. ",https://www.mountainproject.com/route/105715589/dairy-queen,1,"South Dakota > Custer State Park > Tenpins/Switchbacks > Queen Pin",2.6,-1,Lead,Onsight,Sport,,50,2900
2025-05-03,"All Tuckered Out",5.10b,"Hard onsight ",https://www.mountainproject.com/route/105715115/all-tuckered-out,1,"South Dakota > The Needles Of Rushmore > Mount Rushmore National Memorial > South Seas > Shipyard Rock",3.0,-1,Lead,Onsight,Sport,,50,2900
2025-05-03,"Star Dancer",5.8,Classic,https://www.mountainproject.com/route/105714743/star-dancer,1,"South Dakota > The Needles Of Rushmore > Mount Rushmore National Memorial > Magna Carta > Marker > Middle Marker North (Lower Tier)",3.4,-1,Lead,Onsight,"Sport, TR",,105,2100
2025-05-03,Gossamer,5.7,Classic,https://www.mountainproject.com/route/105714776/gossamer,1,"South Dakota > The Needles Of Rushmore > Mount Rushmore National Memorial > Magna Carta > Monster North > Picture Window",3.7,-1,Lead,Onsight,"Trad, Sport",,40,1800
2025-05-02,Waves,5.8,,https://www.mountainproject.com/route/105714728/waves,2,"South Dakota > The Needles Of Rushmore > Mount Rushmore National Memorial > South Seas > Shipyard Rock",3.6,-1,Lead,Onsight,Sport,,180,2100
2025-05-02,"W.A.S.P. (center variation start)",5.9+,,https://www.mountainproject.com/route/106049635/wasp-center-variation-start,1,"South Dakota > The Needles Of Rushmore > Mount Rushmore National Memorial > South Seas > Hornets Nest",3.5,-1,Lead,Onsight,"Trad, Sport",,165,2500
2024-11-27,"Bob's Your Uncle",5.11a,"Hung at crux. Rad",https://www.mountainproject.com/route/105947041/bobs-your-uncle,1,"Washington > Central Region > Frenchman Coulee (Vantage) > Echo Basin > Sunshine Wall > (c) King Pins",3.5,-1,Lead,Fell/Hung,Trad,,80,4600
2024-10-18,"37. Don't Panic, and Bring Your Towel",5.11d,,https://www.mountainproject.com/route/117633917/37-dont-panic-and-bring-your-towel,1,"Michigan > Upper Peninsula > Silver Mountain > Main Wall",3.0,3,Lead,Redpoint,Trad,5.11d,100,5500
2024-10-18,"32a.  Queen Bee",5.10b,,https://www.mountainproject.com/route/114798551/32a-queen-bee,1,"Michigan > Upper Peninsula > Silver Mountain > Main Wall",3.6,-1,Lead,Redpoint,Sport,,80,2900
2024-10-18,"31.  Footloose (aka The Sport Route)",5.11+,,https://www.mountainproject.com/route/114798533/31-footloose-aka-the-sport-route,1,"Michigan > Upper Peninsula > Silver Mountain > Main Wall",3.7,-1,Lead,Redpoint,Sport,,80,5300
2024-10-18,"38.  Wine Line",5.11d,,https://www.mountainproject.com/route/118185100/38-wine-line,1,"Michigan > Upper Peninsula > Silver Mountain > Main Wall",3.5,-1,Lead,Redpoint,Trad,,80,5500
2024-08-05,"Narrow Arrow Direct",5.12c,"Very hard. Didn&#39;t finish.",https://www.mountainproject.com/route/106222524/narrow-arrow-direct,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Narrow Arrow and further right",3.9,-1,TR,,Trad,,100,7200
2024-08-05,"Thin Fingers",5.11a,"First clean send of the boulder.",https://www.mountainproject.com/route/105805741/thin-fingers,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Narrow Arrow and further right",3.8,-1,Lead,Redpoint,Trad,,120,4600
2024-08-04,"With Apologies to Walter B",5.11b,"Last pitch with Aaron. Nearly pumped out of the crack. I was psyched after.",https://www.mountainproject.com/route/105955198/with-apologies-to-walter-b,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Narrow Arrow and further right",3.3,-1,Lead,Onsight,Trad,,100,4900
2024-07-29,"Baby Tapir",5.10d,"Fell clipping the chains.",https://www.mountainproject.com/route/107526961/baby-tapir,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lookout Point Area > Lookout Point > (b) Central Area",2.7,3,Lead,Fell/Hung,Trad,5.11a,60,3500
2024-07-28,"Law and Order",5.10a,"Bring a lot of draws to clip the many bolts that were put up retroactively in poor style.  ",https://www.mountainproject.com/route/107571773/law-and-order,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lookout Point Area > Lookout Point > (b) Central Area",3.4,4,Lead,Onsight,Trad,5.10a,150,2600
2024-07-28,"An Act of Strange Boar",5.10d,"Felt quite easy compared to my first attempt a year earlier.",https://www.mountainproject.com/route/107527007/an-act-of-strange-boar,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lookout Point Area > Lookout Point > (b) Central Area",3.8,3,Lead,Redpoint,Trad,5.10d,100,3500
2024-07-16,"The Edge of Time Arete",5.9,"Great day with Sydney. I started the climb by running it to the top of p4. After that, Syd linked p5 and p6. I finished up the route on p7. The rappel was more involved than it should have been, with a rope stuck atop of p3 and missing the p2 rap anchors. From rising tide ledge, a simple walk-off skiers right brought us back to our packs. ",https://www.mountainproject.com/route/124432683/the-edge-of-time-arete,7,"Washington > Central-West Cascades & Seattle > Snoqualmie Pass Area > The Fang",3.2,3,Lead,Onsight,"Sport, Alpine",5.8,650,2400
2024-07-04,"Toxic Shock",5.9,,https://www.mountainproject.com/route/105791086/toxic-shock,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Inner Walls > West Side > (b) Toxic - Tang Area",3.7,-1,Lead,Redpoint,Trad,,90,2400
2024-07-04,"Golden Bucket",5.10a,,https://www.mountainproject.com/route/113482015/golden-bucket,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Inner Walls > West Side > (c) Foodbar Wall",3.5,-1,Lead,Redpoint,Trad,,80,2600
2024-07-02,"Model Worker",5.11c,"Went to the top. Gear: bolts, 1, low anchor, 3, 2, .3, .2, bolts, purple rp + .1, optional .2",https://www.mountainproject.com/route/105814991/model-worker,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",3.6,4,Lead,Fell/Hung,Trad,5.11c,120,5200
2024-07-02,"Japanese Gardens",5.11+,"Jack put it up, got all the moves with a couple hangs at the crux. Layback the wide, forget about the butterfly",https://www.mountainproject.com/route/105791008/japanese-gardens,4,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",3.8,-1,TR,,Trad,,200,5300
2024-07-02,Tatoosh,5.10b,"Fallon put it up, she thought it was hard and long for 10a.",https://www.mountainproject.com/route/106171292/tatoosh,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Narrow Arrow and further right",3.5,-1,Follow,,Trad,,110,2900
2024-07-02,Wham,5.11+,"Hung at the wham, finally figured out all the moves!!!",https://www.mountainproject.com/route/106185268/wham,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",3.7,-1,TR,,Sport,,60,5300
2024-07-02,Zoom,5.10d,"Ben put it up. Hard warm-up move; everything else was cruiser",https://www.mountainproject.com/route/106054444/zoom,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",3.7,-1,TR,,Trad,,80,3500
2024-06-27,"A-Frame in the Woods",5.10c/d,"I think we did the ‘infinity’ thing? The roofs surely felt harder than 10+ but I was also 30 pitches deep",https://www.mountainproject.com/route/121377922/a-frame-in-the-woods,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Lump Area > (e) Field of Dreams",3.5,-1,Follow,,Sport,,95,3400
2024-06-26,"Cunning Stunt",5.10c/d,,https://www.mountainproject.com/route/105800865/cunning-stunt,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",3.6,-1,Lead,Redpoint,Sport,,80,3400
2024-06-26,Stolen,5.7,,https://www.mountainproject.com/route/121374177/stolen,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Lump Area > (e) Field of Dreams",2.8,-1,Lead,Redpoint,Sport,,75,1800
2024-06-25,"Everything Hertz",5.10b/c,,https://www.mountainproject.com/route/119296557/everything-hertz,2,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Lump Area > (b) Beetle Bailey Slab",2.8,-1,Lead,Redpoint,Trad,,140,3100
2024-06-25,"36 Volts to Anywhere",5.11a,"Just did p1",https://www.mountainproject.com/route/119257893/36-volts-to-anywhere,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Lump Area > (b) Beetle Bailey Slab",3.6,-1,Lead,Onsight,Trad,,180,4600
2024-06-25,"Flying Salamanders (Full)",5.10a,,https://www.mountainproject.com/route/119257785/flying-salamanders-full,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Lump Area > (b) Beetle Bailey Slab",3.1,-1,Lead,Redpoint,Sport,,100,2600
2024-06-25,"Behind the Tombstone",5.9+,,https://www.mountainproject.com/route/117064979/behind-the-tombstone,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Lump Area > (b) Beetle Bailey Slab",2.6,-1,Lead,Redpoint,Sport,,50,2500
2024-06-25,"Index Archeology",5.8+,,https://www.mountainproject.com/route/117065066/index-archeology,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Lump Area > (b) Beetle Bailey Slab",2.4,-1,Lead,Redpoint,Trad,,60,2200
2024-06-25,"The Anthropocene",5.9,,https://www.mountainproject.com/route/121233152/the-anthropocene,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Lump Area > (b) Beetle Bailey Slab",2.7,-1,Lead,Redpoint,Sport,,75,2400
2024-06-25,"Robin's Ramp",5.7,,https://www.mountainproject.com/route/106461785/robins-ramp,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > Mid Wall",2.1,-1,Lead,Redpoint,Trad,,85,1800
2024-06-25,"In Tune and On Time",5.11a,Hard,https://www.mountainproject.com/route/120741359/in-tune-and-on-time,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > The Rhythm Cliff > Lower Rhythm",2.5,-1,Lead,Fell/Hung,Trad,,35,4600
2024-06-25,"5.12 Bar Blues",5.11+,,https://www.mountainproject.com/route/120714529/512-bar-blues,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > The Rhythm Cliff > Lower Rhythm",2.3,-1,TR,,Sport,,70,5300
2024-06-25,"MW crack",5.11a,,https://www.mountainproject.com/route/113428771/mw-crack,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > Mid Wall",2.7,-1,Lead,Fell/Hung,"Trad, TR",,25,4600
2024-06-25,"Plum Pudding",5.9,,https://www.mountainproject.com/route/106386419/plum-pudding,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > Mid Wall",3.4,-1,Lead,Redpoint,Trad,,70,2400
2024-06-25,PBR,5.10b,,https://www.mountainproject.com/route/108140143/pbr,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > Mid Wall",3.6,-1,Follow,,Trad,,100,2900
2024-06-25,"Beetle Bailey P1",5.10d,,https://www.mountainproject.com/route/119108504/beetle-bailey-p1,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Lump Area > (b) Beetle Bailey Slab",3.2,4,Lead,Fell/Hung,Trad,"5.10d PG13",,3500
2024-06-25,"Smilodon Fatalis",5.8+,,https://www.mountainproject.com/route/119198566/smilodon-fatalis,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Lump Area > (b) Beetle Bailey Slab",3.0,-1,Lead,Redpoint,Sport,,70,2200
2024-06-25,"Just say no to Frank Sinatra",5.11b/c,"Clean. Last pitch of bday",https://www.mountainproject.com/route/105805764/just-say-no-to-frank-sinatra,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",2.7,-1,TR,,Trad,,100,5100
2024-06-25,"Frank Presley",5.11a,,https://www.mountainproject.com/route/105808027/frank-presley,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",2.7,-1,Lead,Fell/Hung,Sport,,90,4600
2024-06-25,"Cunning Stunt",5.10c/d,,https://www.mountainproject.com/route/105800865/cunning-stunt,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",3.6,-1,Lead,Redpoint,Sport,,80,3400
2024-06-25,"Jam Session",5.7,,https://www.mountainproject.com/route/120713808/jam-session,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > The Rhythm Cliff > Lower Rhythm",2.9,-1,Lead,Redpoint,Trad,,70,1800
2024-06-25,"Stihl Drum",5.11a,P9,https://www.mountainproject.com/route/122729868/stihl-drum,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > The Rhythm Cliff > Lower Rhythm",2.2,-1,Lead,Redpoint,Trad,,45,4600
2024-06-25,"Stihl Guitar",5.10b,,https://www.mountainproject.com/route/122729764/stihl-guitar,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > The Rhythm Cliff > Lower Rhythm",2.3,-1,Lead,Redpoint,Trad,,60,2900
2024-06-25,"With Apologies to Kenny G",5.10a/b,,https://www.mountainproject.com/route/120714228/with-apologies-to-kenny-g,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > The Rhythm Cliff > Lower Rhythm",2.9,-1,Lead,Redpoint,Trad,,40,2800
2024-06-25,"Playing by Ear",5.10c/d,,https://www.mountainproject.com/route/120714317/playing-by-ear,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > The Rhythm Cliff > Lower Rhythm",2.3,-1,Lead,Redpoint,Sport,,35,3400
2024-06-25,"Coltrane Roof",5.10c,P3,https://www.mountainproject.com/route/122864623/coltrane-roof,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > The Rhythm Cliff > Lower Rhythm",2.8,-1,Lead,Redpoint,Trad,,60,3200
2024-06-25,"5.10 in B-minor",5.10b,,https://www.mountainproject.com/route/120713727/510-in-b-minor,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > The Rhythm Cliff > Lower Rhythm",3.3,-1,Lead,Redpoint,Trad,,70,2900
2024-06-25,"Perfect Pitch",5.10d,"Greased out on the .75 jam in the sun",https://www.mountainproject.com/route/120714098/perfect-pitch,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Middle Town Walls > The Rhythm Cliff > Lower Rhythm",3.7,-1,Lead,Fell/Hung,Trad,,50,3500
2024-06-23,"Lay of the Land",5.12a,"Hung three times, I was getting pumped and it was my warm up. I also thought it was 5.9, it was definitely harder, but all there and I took because I was a bit scared of how the rope was running. Sick! Index has made me quite strong. ",https://www.mountainproject.com/route/105827408/lay-of-the-land,1,"Washington > Central-West Cascades & Seattle > North Bend & Vicinity > Exit 32; Little Si > The Woods Group > (a) Midland",3.7,-1,Lead,Fell/Hung,Sport,,80,6600
2024-06-20,"Model Worker",5.11c,"Took it to the top. ",https://www.mountainproject.com/route/105814991/model-worker,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",3.6,4,Lead,Fell/Hung,Trad,5.11c,120,5200
2024-06-19,"Princely Ambitions",5.9,,https://www.mountainproject.com/route/105790710/princely-ambitions,2,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",3.7,-1,TR,,Trad,,,2400
2024-06-19,"Just say no to Frank Sinatra",5.11b/c,,https://www.mountainproject.com/route/105805764/just-say-no-to-frank-sinatra,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",2.7,-1,TR,,Trad,,100,5100
2024-06-19,"Frank Presley",5.11a,,https://www.mountainproject.com/route/105808027/frank-presley,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",2.7,-1,TR,,Sport,,90,4600
2024-06-19,"Heart of the Country",5.11b,,https://www.mountainproject.com/route/106150810/heart-of-the-country,3,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",3.6,-1,Follow,,Trad,,,4900
2024-06-19,"GM Route",5.9,,https://www.mountainproject.com/route/105790678/gm-route,2,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",3.2,-1,Follow,,Trad,,,2400
2024-06-18,"Lap Dance (full)",5.10c,"Tr from anchor on left ski track",https://www.mountainproject.com/route/121299813/lap-dance-full,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Lower Icicle Canyon > Ski Tracks Crack",2.5,-1,TR,,Trad,,100,3200
2024-06-18,"Ski Tracks Crack",5.9,"Good fun",https://www.mountainproject.com/route/106255438/ski-tracks-crack,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Lower Icicle Canyon > Ski Tracks Crack",3.3,3,Lead,Onsight,Trad,5.8,,2400
2024-06-18,"Meat Grinder",5.10a,"Ran it, fun climb. ",https://www.mountainproject.com/route/105825060/meat-grinder,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Alphabet Rock",2.9,-1,Lead,Redpoint,Trad,,70,2600
2024-06-18,"Z Crack",5.10d,"Sent of my first lead burn, after a TR solo a few weeks prior. Sweet climb. ",https://www.mountainproject.com/route/105825065/z-crack,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Alphabet Rock",3.2,-1,Lead,Redpoint,Trad,,60,3500
2024-06-18,"Hind Quarters",5.10b,"Apparently, I missed a hidden hold. Instead, I had my left hand low and through high with my right hand for a full value stretch at the crux.",https://www.mountainproject.com/route/106228490/hind-quarters,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Alphabet Rock",2.6,-1,Lead,Onsight,Sport,,60,2900
2024-06-18,"Dogleg Crack",5.8+,,https://www.mountainproject.com/route/105825054/dogleg-crack,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Alphabet Rock",2.7,-1,Lead,Redpoint,Trad,,60,2200
2024-06-11,"Heart of the Country",5.11b,"Wyatt lead",https://www.mountainproject.com/route/106150810/heart-of-the-country,3,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > The Country Area > (c) The Country",3.6,-1,Follow,,Trad,,,4900
2024-06-04,"La Cucaracha",5.10c,"Chossy, save .75 for top",https://www.mountainproject.com/route/109429636/la-cucaracha,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Madsen's Buttress Area > La Cucaracha",3.4,-1,Lead,Fell/Hung,Trad,,40,3200
2024-06-04,"Madsen's Chimney",5.9+,,https://www.mountainproject.com/route/119124143/madsens-chimney,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Madsen's Buttress Area > La Cucaracha",3.4,4,Lead,Fell/Hung,Trad,5.9+,55,2500
2024-05-27,"Model Worker",5.11c,"Took it to the top. Bring rp for pro after second bolt. Reach up with right hand, then match left hand (after moving left foot) on the bread loaf; for the second half crux getting to the first bolt.",https://www.mountainproject.com/route/105814991/model-worker,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",3.6,4,,,Trad,5.11c,120,5200
2024-05-22,"Iron Horse",5.11d,Hard,https://www.mountainproject.com/route/105903139/iron-horse,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",3.9,-1,Follow,,Trad,,120,5500
2024-05-22,"Model Worker",5.11c,"Hard, first time up this season. Hung at the dump for a bit",https://www.mountainproject.com/route/105814991/model-worker,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",3.6,4,Lead,Fell/Hung,Trad,5.11c,120,5200
2024-05-22,Godzilla,5.9,"First of the day",https://www.mountainproject.com/route/105790717/godzilla,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",3.8,-1,Follow,,Trad,,105,2400
2024-05-22,"Slow Children",5.10d,"Took at the bulge bit into the final portion. Hanged into the final anchors.",https://www.mountainproject.com/route/105815743/slow-children,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",3.9,-1,Lead,Fell/Hung,Trad,,100,3500
2024-05-22,"City Park (P2)",5.10b,,https://www.mountainproject.com/route/119626742/city-park-p2,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",2.9,-1,Follow,,Trad,,80,2900
2024-05-22,"Bwana Dik",5.11d,"First but was figured out without jimping",https://www.mountainproject.com/route/106867964/bwana-dik,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",3.2,-1,Follow,,Trad,,40,5500
2024-05-22,"TPMV (10% Meteorological Vinculation)","5.12+ PG13","Got all the moves apart from the weird step up",https://www.mountainproject.com/route/106328521/tpmv-10-meteorological-vinculation,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lower Town Wall > Dwarf Tossing to Narrow Arrow",4.0,-1,Follow,,Trad,,300,7300
2024-05-14,Flex,V2,,https://www.mountainproject.com/route/123052736/flex,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Tumwater Canyon > ** Bouldering in Tumwater Canyon > The Beach and Forest Area > The Forest > Goicoechea Boulder",2.9,4,Flash,,Boulder,,16,20200
2024-04-21,"Dogleg Crack",5.8+,"TR solo",https://www.mountainproject.com/route/105825054/dogleg-crack,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Alphabet Rock",2.7,-1,Solo,,Trad,,60,2200
2024-04-21,"Meat Grinder",5.10a,"TR Solo",https://www.mountainproject.com/route/105825060/meat-grinder,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Icicle Creek > Alphabet Rock",2.9,-1,Solo,,Trad,,70,2600
2024-04-20,Schisthead,V2,,https://www.mountainproject.com/route/106527758/schisthead,1,"Washington > Central-East Cascades, Wenatchee, & Leavenworth > Leavenworth > Tumwater Canyon > ** Bouldering in Tumwater Canyon > Swiftwater Boulders > Swiftwater Picnic Area > Schisthead",2.5,-1,Flash,,Boulder,,,20200
2024-04-19,"Very Seven Man",5.10,"Jack lead this. Starting boulder ant so bad, better then coming in from the right.",https://www.mountainproject.com/route/124278452/very-seven-man,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lookout Point Area > Lookout Point > (c) The Apron Area",3.1,-1,Follow,,"Trad, TR",,60,3000
2024-04-17,"Pickett Museum Appreciation Society",5.11b/c,"Jack ran into this from the top of very seven man. The “grippy overlap” after reaching left for the seam had me swimming between shit holds. ",https://www.mountainproject.com/route/124904159/pickett-museum-appreciation-society,1,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lookout Point Area > Lookout Point > (c) The Apron Area",3.3,-1,Follow,,"Trad, TR",,90,5100
2024-04-17,"Steel Pulse",5.10c,"Fell at the start of second pitch. Hung a few times, it has very reachy clips; albeit fun sporty slab climbing. Linked the last two pitches. Hung on the third pitch as well. Good fun slab movement ",https://www.mountainproject.com/route/110182972/steel-pulse,3,"Washington > Central-West Cascades & Seattle > Skykomish Valley > Index > Lookout Point Area > Lookout Point > (c) The Apron Area",3.4,-1,Lead,Fell/Hung,Trad,,300,3200
